Date,Close,yhat
8/2/2021,709.67,59.73
8/3/2021,709.74,65.00
8/4/2021,710.92,65.69
8/5/2021,714.63,67.13
8/6/2021,699.1,65.01
8/9/2021,713.76,72.30
8/10/2021,709.99,77.57
8/11/2021,707.82,78.26
8/12/2021,722.25,79.70
8/13/2021,717.17,77.58
8/16/2021,686.17,84.86
8/17/2021,665.71,90.14
8/18/2021,688.99,90.82
8/19/2021,673.47,92.27
8/20/2021,680.26,90.15
8/23/2021,706.3,97.43
8/24/2021,708.49,102.70
8/25/2021,711.2,103.39
8/26/2021,701.16,104.84
8/27/2021,711.92,110.00
8/30/2021,730.91,115.27
8/31/2021,735.72,115.96
9/1/2021,734.09,117.41
9/2/2021,732.39,115.29
9/3/2021,733.57,122.57
9/7/2021,752.92,127.84
9/8/2021,753.87,128.53
9/9/2021,754.86,129.97
9/10/2021,736.27,127.85
9/13/2021,743,135.14
9/14/2021,744.49,140.41
9/15/2021,755.83,141.10
9/16/2021,756.99,142.54
9/17/2021,759.49,140.42
9/20/2021,730.17,147.70
9/21/2021,739.38,152.98
9/22/2021,751.94,153.66
9/23/2021,753.64,155.11
9/24/2021,774.39,152.99
9/27/2021,791.36,160.27
9/28/2021,777.56,165.54
9/29/2021,781.31,166.23
9/30/2021,775.48,167.68
10/1/2021,775.22,165.56
10/4/2021,781.53,172.84
10/5/2021,780.59,178.11
10/6/2021,782.75,178.80
10/7/2021,793.61,180.25
10/8/2021,785.49,178.13
10/11/2021,791.94,190.68
10/12/2021,805.72,191.37
10/13/2021,811.08,192.82
10/14/2021,818.32,190.70
10/15/2021,843.03,197.98
10/18/2021,870.11,203.25
10/19/2021,864.27,203.94
10/20/2021,865.8,205.38
10/21/2021,894,203.29
10/22/2021,909.68,210.63
10/25/2021,1024.86,215.93
10/26/2021,1018.43,216.64
10/27/2021,1037.86,218.11
10/28/2021,1077.04,216.01
10/29/2021,1114,223.36
11/1/2021,1208.59,228.65
11/2/2021,1172,229.42
11/3/2021,1213.86,230.94
11/4/2021,1229.91,228.90
11/5/2021,1222.09,236.42
11/8/2021,1162.94,241.77
11/9/2021,1023.5,242.53
11/10/2021,1067.95,244.06
11/11/2021,1063.51,242.01
11/12/2021,1033.42,249.69
11/15/2021,1013.39,255.10
11/16/2021,1054.73,255.92
11/17/2021,1089.01,257.50
11/18/2021,1096.38,263.19
11/19/2021,1137.06,268.59
11/22/2021,1156.87,269.41
11/23/2021,1109.03,270.99
11/24/2021,1116,269.01
11/26/2021,1081.92,276.71
11/29/2021,1136.99,282.12
11/30/2021,1144.76,282.95
12/1/2021,1095,284.54
12/2/2021,1084.6,282.56
12/3/2021,1014.97,290.26
12/6/2021,1009.01,295.67
12/7/2021,1051.75,296.50
12/8/2021,1068.96,298.08
12/9/2021,1003.8,296.10
12/10/2021,1017.03,303.81
12/13/2021,966.41,309.22
12/14/2021,958.51,310.05
12/15/2021,975.99,311.63
12/16/2021,926.92,309.65
12/17/2021,932.57,317.35
12/20/2021,899.94,322.77
12/21/2021,938.53,323.59
12/22/2021,1008.87,325.18
12/23/2021,1067,323.20
12/27/2021,1093.94,330.90
12/28/2021,1088.47,336.31
12/29/2021,1086.19,337.14
12/30/2021,1070.34,338.73
12/31/2021,1056.78,336.75
1/3/2022,1199.78,344.45
1/4/2022,1149.59,349.86
1/5/2022,1088.12,350.69
1/6/2022,1064.7,352.27
1/7/2022,1026.96,350.29
1/10/2022,1058.12,358.00
1/11/2022,1064.4,363.41
1/12/2022,1106.22,364.24
1/13/2022,1031.56,365.82
1/14/2022,1049.61,363.84
1/18/2022,1030.51,371.54
1/19/2022,995.65,376.96
1/20/2022,996.27,377.78
1/21/2022,943.9,379.37
1/24/2022,930,377.39
1/25/2022,918.4,390.50
1/26/2022,937.41,391.33
1/27/2022,829.1,392.92
1/28/2022,846.35,390.94
1/31/2022,936.72,398.64
2/1/2022,931.25,404.05
2/2/2022,905.66,404.88
2/3/2022,891.14,406.47
2/4/2022,923.32,404.48
2/7/2022,907.34,412.19
2/8/2022,922,417.60
2/9/2022,932,418.43
2/10/2022,904.55,420.01
